"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"low balance",48,"existing paid","radio/tv",5951,"low savings","1-3 years",2,"female div/dep/mar","none",2,"real estate",22,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",12,"critical/order existing credit","education",2096,"low savings","4-6 years",2,"male single","none",3,"real estate",49,"stores","own",1,"unskilled resident",2,"none","yes","good"
"overdrawn",42,"existing paid","furniture/equipment",7882,"low savings","4-6 years",2,"male single","guarantor",4,"life insurance",45,"stores","for free",1,"skilled",2,"none","yes","good"
"overdrawn",24,"delayed previously","new car",4870,"low savings","1-3 years",3,"male single","none",4,"no known property",53,"stores","for free",2,"skilled",2,"none","yes","bad"
"no checking",24,"existing paid","furniture/equipment",2835,"low savings","7 or more years",3,"male single","none",4,"life insurance",53,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",36,"existing paid","used car",6948,"low savings","1-3 years",2,"male single","none",2,"car",35,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"low balance",30,"critical/order existing credit","new car",5234,"low savings","unemployed",4,"male mar/wid","none",2,"car",28,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",12,"existing paid","new car",1295,"low savings","less than 1 year",3,"female div/dep/mar","none",1,"car",25,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",48,"existing paid","business",4308,"low savings","less than 1 year",3,"female div/dep/mar","none",4,"life insurance",24,"stores","rent",1,"skilled",1,"none","yes","bad"
"low balance",12,"existing paid","radio/tv",1567,"low savings","1-3 years",1,"female div/dep/mar","none",1,"car",22,"stores","own",1,"skilled",1,"yes","yes","good"
"overdrawn",15,"existing paid","new car",1403,"low savings","1-3 years",2,"female div/dep/mar","none",4,"car",28,"stores","rent",1,"skilled",1,"none","yes","good"
"overdrawn",24,"existing paid","radio/tv",1282,"low savings","1-3 years",4,"female div/dep/mar","none",2,"car",32,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"no checking",24,"critical/order existing credit","radio/tv",2424,"no known savings","7 or more years",4,"male single","none",4,"life insurance",53,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",3430,"low savings","7 or more years",3,"male single","none",2,"car",31,"stores","own",1,"skilled",2,"yes","yes","good"
"no checking",9,"critical/order existing credit","new car",2134,"low savings","1-3 years",4,"male single","none",4,"car",48,"stores","own",3,"skilled",1,"yes","yes","good"
"overdrawn",6,"existing paid","radio/tv",2647,"low savings","1-3 years",2,"male single","none",3,"real estate",44,"stores","rent",1,"skilled",2,"none","yes","good"
"overdrawn",10,"critical/order existing credit","new car",2241,"low savings","less than 1 year",1,"male single","none",3,"real estate",48,"stores","rent",2,"unskilled resident",2,"none","no","good"
"low balance",12,"critical/order existing credit","used car",1804,"low savings","less than 1 year",3,"male single","none",4,"life insurance",44,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",10,"critical/order existing credit","furniture/equipment",2069,"no known savings","1-3 years",2,"male mar/wid","none",1,"car",26,"stores","own",2,"skilled",1,"none","no","good"
"overdrawn",6,"existing paid","furniture/equipment",1374,"low savings","1-3 years",1,"male single","none",2,"real estate",36,"bank","own",1,"unskilled resident",1,"yes","yes","good"
"no checking",6,"no credits/all paid","radio/tv",426,"low savings","7 or more years",4,"male mar/wid","none",4,"car",39,"stores","own",1,"unskilled resident",1,"none","yes","good"
"adequate balance",12,"all paid","radio/tv",409,"high savings","1-3 years",3,"female div/dep/mar","none",3,"real estate",42,"stores","rent",2,"skilled",1,"none","yes","good"
"low balance",7,"existing paid","radio/tv",2415,"low savings","1-3 years",3,"male single","guarantor",2,"real estate",34,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",18,"existing paid","business",1913,"high savings","less than 1 year",3,"male mar/wid","none",3,"real estate",36,"bank","own",1,"skilled",1,"yes","yes","good"
"overdrawn",24,"existing paid","furniture/equipment",4020,"low savings","1-3 years",2,"male single","none",2,"car",27,"unknown","own",1,"skilled",1,"none","yes","good"
"low balance",18,"existing paid","new car",5866,"low savings","1-3 years",2,"male single","none",2,"car",30,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","business",1264,"no known savings","7 or more years",4,"male single","none",4,"no known property",57,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"adequate balance",12,"existing paid","furniture/equipment",1474,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"life insurance",33,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"low balance",45,"critical/order existing credit","radio/tv",4746,"low savings","less than 1 year",4,"male single","none",2,"life insurance",25,"stores","own",2,"unskilled resident",1,"none","yes","bad"
"no checking",48,"critical/order existing credit","education",6110,"low savings","1-3 years",1,"male single","none",3,"no known property",31,"bank","for free",1,"skilled",1,"yes","yes","good"
"adequate balance",18,"existing paid","radio/tv",2100,"low savings","1-3 years",4,"male single","co applicant",2,"real estate",37,"unknown","own",1,"skilled",1,"none","yes","bad"
"adequate balance",10,"existing paid","domestic appliance",1225,"low savings","1-3 years",2,"male single","none",2,"car",37,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",9,"existing paid","radio/tv",458,"low savings","1-3 years",4,"male single","none",3,"real estate",24,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",30,"existing paid","radio/tv",2333,"low savings","7 or more years",4,"male single","none",2,"car",30,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"low balance",12,"existing paid","radio/tv",1158,"low savings","1-3 years",3,"male div/sep","none",1,"car",26,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",18,"delayed previously","repairs",6204,"low savings","1-3 years",2,"male single","none",4,"real estate",44,"stores","own",1,"unskilled resident",2,"yes","yes","good"
"overdrawn",30,"critical/order existing credit","used car",6187,"low savings","4-6 years",1,"male mar/wid","none",4,"car",24,"stores","rent",2,"skilled",1,"none","yes","good"
"overdrawn",48,"critical/order existing credit","used car",6143,"low savings","7 or more years",4,"female div/dep/mar","none",4,"no known property",58,"unknown","for free",2,"unskilled resident",1,"none","yes","bad"
"no checking",11,"critical/order existing credit","new car",1393,"low savings","less than 1 year",4,"female div/dep/mar","none",4,"car",35,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","good"
"no checking",36,"existing paid","radio/tv",2299,"low savings","7 or more years",4,"male single","none",4,"car",39,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",6,"existing paid","used car",1352,"low savings","unemployed",1,"female div/dep/mar","none",2,"life insurance",23,"stores","rent",1,"unemp/unskilled non res",1,"yes","yes","good"
"no checking",11,"critical/order existing credit","new car",7228,"low savings","1-3 years",1,"male single","none",4,"life insurance",39,"stores","own",2,"unskilled resident",1,"none","yes","good"
"no checking",12,"existing paid","radio/tv",2073,"low savings","1-3 years",4,"female div/dep/mar","co applicant",2,"real estate",28,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",24,"delayed previously","furniture/equipment",2333,"no known savings","less than 1 year",4,"male single","none",2,"life insurance",29,"bank","own",1,"unskilled resident",1,"none","yes","good"
"low balance",27,"delayed previously","used car",5965,"low savings","7 or more years",1,"male single","none",2,"car",30,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"existing paid","radio/tv",1262,"low savings","1-3 years",3,"male single","none",2,"car",25,"stores","own",1,"skilled",1,"none","yes","good"
